Num	Catégorie	Intitulé	Langue	Durée	Prix	Lien Mega	Premier Lien Mega
58	Informatique programmation	Développement moderne javascript et es6 es7		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/1QQnUDSZ#-XaV4wDqAG0k4Fazr1IVg1jRAIbZL00jWefD5S8HF2s!1a
59	Informatique programmation	Devops tout savoir de docker en quelques heures		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/VRJ0FCzJ#6SLXERlAQEcM_sG2VcAm6UFW0t-oA1GmKHiWYrNW2SM!1a
60	Informatique programmation	Devenir un expert redouté du framework javascript angular		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/MBZgkbhA#a99pG5YZsqmI7A8ZGcVcTsV-ES-Nh5sydFtqAtqbdDg!1a
61	Informatique programmation	Devenir développeur nocode avec elementor & wordpress	Français	03:14 min	0 Fcfa	OUI	https://mega.nz/embed/lBIQ1bDb#8o4dselwPnH44mROU0KbbeubNbzztzlT3JssN06we7g!1a
62	Informatique programmation	Devenez un expert du web scraping - la formation complète	Français	02:13 min	0 Fcfa	OUI	https://mega.nz/embed/4AZxCLZa#k9RiOChrHoHJCNTAEw1D1DVhVXbriZFopTBHEid4n74!1a
63	Informatique programmation	Créez vos sites sans code en tout simplicité avec carrd	Français	03:13 min	0 Fcfa	OUI	https://mega.nz/embed/hEIXkY5D#mU-p0AuzdYHkv_6orsdKsHtTTNFaoBrFoAhi1Ft1i-A!1a
64	Informatique programmation	Créer une boutique shopify à partir de zéro	Français	03:12 min	0 Fcfa	OUI	https://mega.nz/embed/FVhjCZJJ#8P77gsJnMIO-LuEFE-mfT2n9A2RFPxASEDzLIWrNGe8!1a
65	Informatique programmation	Créer une application web de a à z avec bubble	Français	04:11 min	0 Fcfa	OUI	https://mega.nz/embed/dEJhDLDL#tqkHg82WBpA25phl7vuHyhbE_e9ISS48tdhZgsJQH7s!1a
66	Informatique programmation	Créer son robot de trading sans coder	Français	02:09 min	0 Fcfa	OUI	https://mega.nz/embed/1IYXiRoT#IcXAxiV2z64DHd-JzYNvBCiinUxAPXRa3Dryg1QO4io!1a
67	Informatique programmation	Coder 10 projets avec react	Français	04:09 min	0 Fcfa	OUI	https://mega.nz/embed/0IxxGAZB#Lyj1w1uPoObAvF2iY1ZGpCrF0OAHo2On6lN3lN0QDLQ!1a
